Sentence,Emotion
"Bewust, kram bewust. Ik vind het goed DAT het is.",surprise
"Bewust, niet bewust. ik vind het goed DAT het is.",surprise
"Er fysiek wel oordelen open, maar het is niet.",sadness
"Er staat fontein oordelen open, maar het is niet.",sadness
"Er staat bron voor open, maar het are niet.",sadness
kram doen.,disgust
agrafe doen.,disgust
niet doen.,disgust
Ah!,surprise
Hij voelde het macrokosmos kut. Hij kwam als enige omhelzen koffer.,sadness
informatietechnologie voelde het al kut. Hij kwam uitzien enige met koffer.,sadness
hij voelde het al kut. Hij kwam als enige met koffer.,sadness
Dat voelde hij schepping kut. Nu heeft hem ook nog geen duo.,sadness
Dat voelde informatietechnologie al kut. Nu heeft tikkertje ook nog geen duo.,sadness
Dat voelde hem al kut. nu heeft hij ook nog geen duo.,sadness
DAT is geen sleutel.,sadness
DAT zijn geen sleutel.,sadness
DAT are geen sleutel.,sadness
"Ja, is ook zo. Maar ja, ego ben een mens-mens, dus iedereen is anders.",surprise
"Ja, is ook zo. bedenking ja, ik ben een mens-mens, dus iedereen are anders.",surprise
Slecht.,disgust
Die zit hier.,surprise
"hooghartigheid had eigenlijk... Ja, ga wie uitdoen, gelijk.",surprise
"ik had eigenlijk... Ja, ga wie uitdoen, gelijk.",surprise
"hooghartigheid had eigenlijk... Ja, ga wat uitdoen, gelijk.",surprise
Zeg maar kammen in de keuken kan niet.,disgust
Zeg maar uitkammen in de keuken kan niet.,disgust
Zeg maar uitkammen in de kookgelegenheid kan niet.,disgust
Zeg maar kammen in de kookgelegenheid kan niet.,disgust
"Ja. Harenwassen in de kookgelegenheid kan niet, zeg maar, onder de kraan.",disgust
"Ja. Harenwassen in de keuken kan niet, zeg maar, onder de kraan.",disgust
Ja. DAT zijn niet.,disgust
Ja. DAT are niet.,disgust
Ja. DAT is niet.,disgust
Valt op spierbundels en wordt behoorlijk onvoorspelbaar zoeken ze duivels wordt.,fear
Valt intensiveren spierbundels en wordt behoorlijk onvoorspelbaar zoeken ze boos wordt.,fear
Valt op spierbundels en wordt behoorlijk onvoorspelbaar lijken ze duivels wordt.,fear
Valt intensiveren spierbundels en wordt behoorlijk onvoorspelbaar als ze kwaad wordt.,fear
Valt op spierbundels en wordt behoorlijk onvoorspelbaar uitzien ze duivels wordt.,fear
Valt op spierbundels en wordt behoorlijk onvoorspelbaar als ze duivels wordt.,fear
